,reviewtext,Rooms,Location,Cleanliness,Checkin,Service
215,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night,  ",1.0,1.0,1.0,,1.0
216,"I hate this hotel because the staff is not help us to check in hotel, it make us angry. I not recommend you to stay here",,,,-1.0,-1.0
217,this is so crappy with bad check in and Bad Smell in this hotel,,,-1.0,-1.0,
218,"unique, great stay, wonderful time hotel monaco, location excellent short stroll main downtown shopping area, pet friendly room showed no signs animal hair smells, monaco suite sleeping area big striped curtains pulled closed nice touch felt cosy, goldfish named brandi enjoyed, did n't partake free wine coffee/tea service lobby thought great feature, great staff friendly, free wireless internet hotel worked suite 2 laptops, decor lovely eclectic mix pattens color palatte, animal print bathrobes feel like rock stars, nice did n't look like sterile chain hotel hotel personality excellent stay,  ",1.0,1.0,,,1.0
219,I dont know why this hotel is bad smell and the hotel also dirty. The check in is very slow.,,,-1.0,-1.0,
220,"love monaco staff husband stayed hotel crazy weekend attending memorial service best friend husband celebrating 12th wedding anniversary, talk mixed emotions, booked suite hotel monte carlos, loaned beautiful fan-tanned goldfish named joliet weekend visited dogs worked desk human companions, room decorated nicely couch used pillows, l'occitane bath amenities welcome sight, room quiet peaceful, wireless internet access wonderful server went morning leaving problems printing boarding passes, afternoon reception serves oenophile-satisfying wine australia scrumptious cookies, restaurant closed renovation stay finally ate food good drinks better, word caution restaurant larger person not sit booths wo n't fit, 5'6 125 lbs husband 5'9 175. table smack-against stomach couple inches space mighty uncomfortable patron larger pregnant, bad design opinion place decorated funky welcoming way metal wood handblown glass light fixtures expect seattle capital glass art industry, definitely stay reason,  ",1.0,,,,1.0
221,"cozy stay rainy city, husband spent 7 nights monaco early january 2008. business trip chance come ride.we booked monte carlo suite proved comfortable longish stay, room 905 located street building, street noise not problem view interesting rooms building look dank alley midsection large office building, suite comfortable plenty room spread, bathroom attractive squeaky clean small comparison generous proportions sitting sleeping areas, lots comfortable seating options good lighting plenty storage clothing luggage, hotel staff friendly efficient, housekeeping staff did great job pleasant, requests responded quickly.the location quite good, easy walk pike street market seattle art museum notch shopping dining options.a positive experience,  ",1.0,1.0,,,1.0
222,"excellent staff, housekeeping quality hotel chocked staff make feel home, experienced exceptional service desk staff concierge door men maid service needs work, maid failed tuck sheets foot bed instance soiled sheets used, staff quickley resolved soiled sheets issue, guess relates employee not reflection rest staff.we received excellent advice concierge regarding resturants area happy hour wine tasting nice touch staff went way make feel home.great location like close good food shopping took play 5th street theather well.pikes market pioneer square access mono rail short walking distance,  ",,1.0,,,1.0
223,"hotel stayed hotel monaco cruise, rooms generous decorated uniquely, hotel remodeled pacific bell building charm sturdiness, everytime walked bell men felt like coming home, secure, great single travelers, location fabulous, walk things pike market space needle.little grocery/drug store block away, today green, bravo, 1 double bed room room bed couch separated curtain, snoring mom slept curtain, great food nearby,  ",1.0,1.0,,,
224,"excellent stayed hotel monaco past w/e delight, reception staff friendly professional room smart comfortable bed, particularly liked reception small dog received staff guests spoke loved, mild negative distance uphill ppmarket restaurants 1st, overall great experience,  ",1.0,1.0,,1.0,1.0
225,This hotel is dirty and foul smell. Check in is quite hard.,,,-1.0,-1.0,
226,"nice value seattle stayed 4 nights late 2007. looked comparable hilton marriott westin area points/miles n't gave monaco shot, pleasantly surprised nice room service quick tasty bed especially comfortable unlike people nothing positive things say service, downside relatively small exercise room treadmill heck east coast time ran person 5 days, definitely stay,  ",1.0,,,,1.0
227,"nice hotel good location hotel kimpton design whimsical vibe fun, staff young casual problem hotel busy stay friendly helpful, group reserved rooms gave connecting rooms fuss, not busy week.the rooms decent size not huge pretty average city hotel, beds nice bathrooms clean bright pocket doors ideal busy bathroom, room design bright cheery flat panel tv, location little noisy fine 5th floor, location convenient walkable attractions new central library sam art museum benaroya concert hall pike place market, parking steep 29/night, evening wine receptions popular,  ",1.0,1.0,,,1.0
228,"nice hotel not nice staff hotel lovely staff quite rude, bellhop desk clerk going way make things difficult, waited forever check heavy bags no help getting throught double doors room, worst desk clerk checking tap tap tap car waited pick 20 minutes, got home noticed 1,000 dollar hold credit card took 5 phonecalls 2 faxes 1 week resolved, stay warwck 4th lenora rooms ok..but al friendly faces tiring day airport,  ",,,,-1.0,-1.0
229,"great hotel night quick business trip, loved little touches like goldfish leopard print robe, complaint wifi complimentary not internet access business center, great location library service fabulous,  ",,1.0,,,-1.0
230,This hotel is very great location to see beautiful view but I want to suggest you to improve you check in system because its very hard,,1.0,,-1.0,
231,"foul smell in the room make me very aggry to this hotel, this is hotel 4 start but the service is not good",-1.0,,-1.0,,-1.0
232,Check in from the staf is very fast and easy so I can enjoy my time in this hotel early,,,,1.0,1.0
233,"good choice hotel recommended sister, great location room nice, comfortable bed- quiet- staff helpful recommendations restaurants, pike market 4 block walk, stay,  ",1.0,1.0,,,
234,"That's crazy to stay in this hotel, I love the view in this hotel and also the room is unique. But the smell but the smell of garbage is annoying if diem in the hotel. The check in also is slowly from the staf.",1.0,1.0,-1.0,-1.0,-1.0
235,check in is complicated and really long,,,,-1.0,
236,"excellent stay, delightful surprise stay monaco, thoroughly enjoyed stay, room comfortable lovely amenities friendly staff, especially enjoyed hour indulgence, definitely come,  ",1.0,,,,1.0
237,"good value downtown hotel monaco seattle great option pricey area town, rooms w street going close 400 night, hotel monaco unique interesting cozy, bed/linens quality aveda products bathroom nice touch.you close downtown quick cab ride away nightlife restaurants loved lola, experience quirky luxurious fun.i definitely stay,  ",1.0,,,,
238,"hotel monaco great location service hotel monaco centrally located provides excellent service, recently stayed 4/23-5/1, originally checked slight problem informed booked queen beds expedia room king bed, fortunately fellow guest checking time swapped rooms, future reference booking expedia recommend double checking hotel ensure receive correct room, staff stated better book hotel directly match online rates, additionally concierge marco helpful, sat night called salty make reservations brunch day informed no seats available, following day concierge called restaurant hours wanted dine able book table 5 great window view, hotel blocks away pike place market seattle art museum shopping district walking distance space needle experience music project attractions, ammenities services provided hotel include pet goldfish wine tasting yoga mat use room, seattle recommend taking helicopter tour mt, st. helens hoffstadt visitor center,  ",,1.0,,1.0,1.0
239,"great location need internally upgrade advantage north end downtown seattle great restaurants nearby good prices, rooms need updated literally thought sleeping 1970 bed old pillows sheets, net result bad nights sleep, stay location, staff friendly,  ",-1.0,1.0,,,
240,"n't mind noise place great, read reviews noise used hotel website book room, interesting site gives checkbox options 1 room farthest elevator 2 room higher floor 3 quiet room, getting quietest room possible checked hoping, got 6th floor 18-19 floors hall elevator listened trucks ambulance sirens night, sheeeesh, aside heating units sound like small plane engines hear surrounding rooms.if noise sleeps facilities clean conveniently located reasonably priced staff quite helpful,  ",1.0,1.0,,,1.0
241,"loved, stayed warwick overnight getway enjoy christmas shopping, warwick exceeded expectations, staff wonderful extrememly friendly room clean service lounge wonderful, came contact hotel friendly, women bathroom lever lounge well.. think haunted totally creepy vibe lights anywho, really enjoyed stay going couple days,  ",1.0,,1.0,,
242,"met expectations centrally located hotel blocks water popular nightlife shopping options belltown downtown, classify property star location, paid wedding rate not sure fares value proposition, room spacious little outdated, rooms decent views lower floor drab panaroma parking lot buildings, adequate fitness center sauna pool basement quaint bar/restaurant attached hotel, parking 30 day outrage possibly standard downtown street parking weekend save dollars, willing stay future price significantly lower nearby four-star competition,  ",-1.0,,,,
243,the hotel is dirty,,,-1.0,,
244,"good hotel not large hotel newly decorated, rooms good size clean, excellent location 2 blocks centre town 4 blocks market area.hotel resturant bustling place alot diners coming street, good meal there.overall highly recommend staying,  ",1.0,1.0,1.0,,1.0
245,"good choice seattle stayed night business booked company, overall satisfactory arrived late evening room 17th floor clean comfortable great view, bathroom little small clean equipped, good night sleep enjoyed excellent breakfast restaurant checking, staff encountered friendly polite,  ",1.0,1.0,1.0,1.0,1.0
246,"great location expensive parking warwick heart seattle easy walking distance pikes place monorail terminal downtown shops, stayed twice recently start finish tour pacific north west, staff helpful knowledgable rooms large comfy armchair large bedded room, rooms fridge coffee maker.parking site expensive guess reflects city centre parking prices, free zone travel seattle buses cheap free travel central seattle handy grocery store opposite,  ",1.0,1.0,,,1.0
247,"noise airconditioner-a standard, arranged stay travel agency unfortunately warwick seattle hotel dissapointment trip, 3 night stay warwick changed 3 rooms, starting minute stay hotel personnel didn`t make feel like guest like intruder, reluctant help solve complaints, hotel right downtown 5 minutes really good restaurants like good thing, availability room offered 2nd floor window directly opening car parking level, changed room, 3 rooms loud sound coming air conditioner/ heating unbelievable hotel, hotel personnel told standard noise rooms, tried avoid using night order sleep possible watching tv loudly,  ",-1.0,1.0,,,-1.0
248,"good location poor cleanliness warwick hotel great location seattle, close shopping pike place seattle centre, really lets hotel cleanliness, bed linen torn curtains torn floor stains, hotel advertises having balcony reality disappointment, stayed hotel san diego did balcony table chairs, warwick balcony 10 inches.the view rooms view space needle terrific does n't make poor cleanliness, check staff pleasant nor unpleasant decided not sample restaurant, ralph deli street great snacks cafe.there plenty better hotels seattle slightly money warwick choose e.g hotel andra,  ",-1.0,1.0,-1.0,1.0,1.0
249,"good place spending big bucks warwick plenty comfortable nice, nice view space needle room, n't expect balcony, just 18 inch ledge ironwork falling overboard, open patio door partially step view lake union elliott bay, morning space needle hidden clouds, neat sunny weather cloudy, needed warwick, no complaints,  ",,1.0,,,
250,"nice hotel trip seattle wanted stay downtown, good rate hotel decided stay warwick, clean stayed 17th floor excellent view space needle downtown, nice able open sliding door let cool air, bed comfy pillows not, room clean parking not problem use hotel parking, staff friendly helpful, ask key business center 2 computers, needless say hassle use computers acquire key, restaurant good breakfast, hotel not walking distance major attractions like stated, space needle pike market 20 mins away walking opted drive there.we pleased hotel stay,  ",1.0,1.0,1.0,,1.0
251,"Satisfying check in this hotel, I love it",,,,1.0,
252,"gem hotel absolute gem, small great service, room not huge certainly adequate clean comfortable, ask room high floor great view downtown space needle.best attentive staff, concierges friendly helpful, shuttle drivers went way literally, victoria ferry pick, convenient.would recommend,  ",,1.0,1.0,,1.0
253,"pretty good value visit seattle frequently, 1 2 days longer, staying 2 nights not worth especially hotel raised rates lately, recommend ramada steps away, staying longer time perfect, especially families, fancier hotels town warwick satisfy families especially expensive suites, swimming pool bit dark balconies acually just big step windows views location perfect, small restaurant dont overpriced does not offer better food downtown,  ",,1.0,,,
254,"average nice stay hotel amazing location great restaurants gourmet grocery cinerama 1 block radius, macy nordstroms shopping blocks, mattress comfy, amazing sweeping view space needle lake union downtown elliott bay, great pool gym facility, room service nothing write home, n't pizza, parking 21, yikes, old building nicely remodeled,  ",,1.0,,,
255,"bad choice, booked hotel hot wire called immediately requesting nonsmoking room king bed room away elevator/ice.the person spoke pleasant stated not guarantee requests honored make note reservation, check-in person desk rude said no special request noted reservation card andstated no king beds way reservation stuck 2 double beds, located directly accross elevator ice, nonsmoking, no elevator parking garage hotel, warwick mats garage filthy stairwells, hotel faces 4th smells urine, carpets registration elevator area need cleaning, upholstery curtains room needed cleaning andpressing sign bathroom water conservation tub facet dripped continuously, tub drain needsattention shower curtain holes, no coffee maker room, bedding did not fit bed sleeping directly mattress bedding askew, staff unfriendly short, housekeeping staff quite pleasant, stay hotel,  ",-1.0,,-1.0,-1.0,
256,"good value hotel stayed warwick times past years spent night march 25 2005. room fine king bed tv pay view movies mini-fridge, thing missing coffee maker, nice marble bathroom hand held shower, view east hotel space needle time viewed 2 westin hotel towers, price right got 10 miles aadvantage card, fly ointment 21 overnight parking charge, definately come location great,  ",1.0,1.0,,,
257,"warwick bad good reviews warwick shocks staff quite rude rooms fairly dirty, cut asked bandaid did not, requested bottle opener did not better service,  ",,,-1.0,,-1.0
258,"great service warwick just recently spent 4 days christmas holidays warwick, helpfulness care courtesy experienced desk restaurant room service housekeeping staff truly average greatly appreciated, restaurant turned fabulous meals time certain operating skeleton staff, thing prevents giving place excellent rating following hotel tired, old dirty carpets bedding expect hostel, given price range rooms face lift necessary,  ",,,-1.0,,1.0
259,"austin powers decor familiar, hotel seattlewhere sheets 3 different colors hair.but okbecause clean second day.the bathroom friend cringe.she asked brought flip flops sanitizer spray.the dirty shag carpet did n't stop wall.it crawled inches.i star saw shining worse,  ",,,1.0,,
260,"The location is not good, I can't see good view in this hotel",,-1.0,,,
261,"pay read reviews booked knew getting, mind n't surprised, fact better expected, yes rooms outdated towels floormat limited cable tv overall lack amenities use hotel, reviewer said like budget overseas hotel stayed similar condition just enjoyed experience, check desk service great, asked extra pillows maid got, spent 5 flowers pike street added character room.location, friends stayed fairmont street stayed 3 nights night cost, money went dinners trip victoria baseball games,  ",,,,1.0,
262,"not bad location unmatchable price range, simple sleeping room 80 expect pay 2x, surprisingly cleaner hotels seen past week driving la staying travelodge days inn motel 6. quality furnishings high, sure little run spots just old building usual character flaws none affected comfort, lucky corner room especially nice look w know paying 250+/night, bath worked n't care watch tv vacation no idea worked want believe comments feel free, mean room come,  ",,-1.0,1.0,,
263,"remarkable hotel needed days booked inn based tripadvisor reviews, great hotel, staff professional accomodating, town car service available airport immaculate rooms spacious bathroom great location, not great hotel price great hotel, room facing inner coutyard no problem noise, rooms face st. noisy, location excellent downtown seattle.went attached restaurant bacco breakfast cafe champagne dinner, excellent,  ",1.0,1.0,,,1.0
264,"great location friendly staff stayed hotel easter throughly enjoyed time, superably located exploring seattle especially market rooms good size.the staff not friendly helpful reception area welcoming.our room exit stairwell night hear rumbling assume like air conditioning pipes,  ",1.0,1.0,,,1.0
265,"excellent way stayed inn market memorial day weekend, room large great view water sure request way advance, hotel quiet fully booked crowded, service impeccable staff well-mannered friendly, ca n't fault anything.it great location right pike place market near lots great restaurants like etta chez shea,  ",1.0,1.0,,,1.0
266,"amazing location great views fabulous boutique hotel adjacent fish market seattle, stayed short night heading vancouver island honeymoon loved, service great desk pointed great spot sandwiches 10pm sunday not easy, hotel adorable chocolate covered strawberries room decorated like bride groom, thoughtful cute touch, did n't time explore area hotel room clean pretty view water/market bathroom nicer standard hotel bathroom, brunch morning little breakfast place tasty hit spot drive ferries.oh hotel cool outdoor patio higher floors offers really incredible views.a stone throw pike place market,  ",1.0,1.0,1.0,,1.0
267,"outstanding choice reserved city view room night week, checkin helpful desk staff amy gave complimentary upgrade 8th floor water view, access large deck overlooks seemingly, checkin housekeeping valet services checkout smooth friendly, pike place market close silly, staff great recommendations breakfast dinner trying steer house restaurant stay say absolutely excellent, rooms clean appointed, no reason not reserve room time-althought fairmont better choice kids come,  ",1.0,1.0,1.0,1.0,1.0
268,"great hotel great hotel, good sized clean rooms, helpful staff, unbeatable location, walk door pikes market original starbucks, hotel walked underground tour monorail space needle duck tours, stay,  ",1.0,1.0,1.0,,1.0
269,The check in is really weird and not helpful in hotel,,,,-1.0,
270,"nice place, lunatic 20000+ miles flying space days night kill seattle early trans-con flight nyc, night original plan needed hotel none prebooked.this place recommended just block excellent irish pub kells just happened ended in.just room left 220 tax.excellent friendly staff lovely decor big rooms im used nyc rabbit hutch big spacious views water free wi-fi just need ask reception access code, place spotless nicely decorated individual usual bland chain hotels sadly prevail.the area felt fine-in limited time safe near bars shops usual stuff, no drunken noise street either.it quiet comfortable slept well.normally like add pictures reviews length stay lack ca n't time- sorry return seattle list hotels use, try,  ",1.0,1.0,,,1.0
271,"okay not amazing husband stayed weekend night, spent time trying great place stay seattle, read tripadvisor reviews saw listed tl 500 hotels, like pretty good bet fantastic place, great fine just not really amazing little boutique hotel expected reviews ratings, thought room nice not incredible, service better, woman desk friendly got things wrong, note visiting seattle try eat canlis, incredible meal,  ",-1.0,1.0,,-1.0,1.0
272,really hate with the smell in this hotel,,,-1.0,,
273,"loved inn inn market awesome, not beat location right market, room large beds really comfortable, room partial view elliot bay, n't miss rooftop deck best view seattle short space needle, staff friendly, highly recommended, staying future,  ",1.0,1.0,,,1.0
274,,,,,,
275,"nice needs undating husband stayed inn market celebrate birthday overall stay wonderful, enjoyed two-story suite incredible view market sound, quiet location perfect, complaint hotel needs better job keeping maintainance, room major scratches walls stains carpets, cracks bathroom tile significant signs wear bathroom, price expected regards quality upkeep, hopefully management pay attention keeping lovely hotel fresh lovely,  ",,1.0,,,-1.0
276,"wonderful location great beds pretty rooms inn market lived positive reviews, tourists car location n't better, countless excellent restaurants easy walking distance, rainy able explore area race hotel warm got wet cold socal little tolerance weather, staff friendly view deck glorious dark day, room spacious beds extremely comfortable, hotel stay seattle great fun uncooperative weather,  ",1.0,1.0,,,1.0
277,"tempur-pedic beds, minute literally driving past way hotel decided stay, great, staff extremely helpful accommodating room really comfortable clean location excellent, atmosphere location hotel great choice previously stayed grand hyatt returning, room internal facing left bit loud tempur-pedic mattress huge bonus fun try, way restaurant courtyard desk staff suggested try turned excellent, view deck great, stay,  ",1.0,1.0,1.0,,1.0
278,"loved inn stayed inn market 7/11/05 7/18/05, location hotel perfect sightseeing getting seattle car n't want drive seattle, pikes market street waterfront steps monorail space needle short walk plenty great places eat short walk cab ride, service conceirge staff inn terrific, helpful recommending arranging sightseeing excursions mt, ranier whale watching vineyard tours etc., complimentary town car available trips downtown area, great help dinner reservations, rooms immaculate, twice day room service included turn evening fresh towels, decor rooms modern elegant, n't miss roof garden area great view puget sound, great place unwind end day bottle wine, definetly return inn,  ",1.0,1.0,,,1.0
279,"worth money location recently stayed inn market returning having stayed 1999. best location seattle particularly shopping, hotel nice rooms nicely furnished not breath away rooms, views risky goes seattle sit room watch world, beds tempurpedic incredible count great night sleep, 1999 staff excellent, requested room floor terrace met request pleasantly, guests advantage terrace, nice evening shops pine street purchase nice bottle washington state wine snacks head terrace watch ships leave sunset, relaxing romantic, staff assist wine glasses, needed,  ",1.0,1.0,,,1.0
280,"hated inn terrible, room-service horrible staff un-welcoming, decor recently updated lacks complete look, managment staff horrible,  ",,,,-1.0,-1.0
281,"loved inn husband wanted romantic away night, inn perfect met imagined, rooms clean quiet comfortable bath robes nice touch, staff helpful, location great good restaurants walking distance market right fun visit time free bus service close visit sites city, beware parking hotel valet costs 25.00 night, mentioned desk person not away cost not mentioned web page, expected pay removed charge, great customer service, wonderful deck overlooking puget sound, recommend inn planning long visit just romantic away,  ",1.0,1.0,1.0,,1.0
282,The hotel check in quite hard,,,,-1.0,
283,"pay location location perfect walking distance, lot stairs bags problem no elevator available clean noisy woodden floors hear rooms street, breakfast included good, conclusion good compromise,  ",,1.0,1.0,,
284,"ace grunge lives does mold mildew tiny bed metal sink cool extra instead nightsta,  ",,,,,-1.0
285,"ace hotel, reasonably priced hotel great location seattle, spent nights room staff great, communal showers immaculate queue, breakfast great, bit street noise coming floor ear plugs room, highly recommend bar cyclops hotel,  ",,1.0,,,1.0
286,The view in this location is nothing special and the room also old design with dirty room,-1.0,-1.0,-1.0,,
287,"ace hotel awesome, stayed seattle ace hotel 5 days loved, great location belltown directly opposite macrina bakery quite possibly best breakfast/brunch/lunch place seattle wtih fabulous baked goods.all staff friendly helpful, check-in friendly receptionist forgot ask sorry, gave 4 fabulous food recommendations city tried loved, foodies extemely important good recommendations locals.the room small totally adequate shared bathrooms shower rooms spotlessly clean, enjoyed simplicity hotel little extra touches like adjustable lighting music bathrooms free current magazines available lobby, breakfast granola really yummy too.for location amenities price say ace hard beat,  ",1.0,1.0,1.0,1.0,1.0
288,"perfect way, stayed ace seattle short time august, perfect hotel, things need none things n't, great design super comfy great location, staff friendly knew cool places helpful way, rooms super stylie great art ammenities really need, loved place planning make sepcial trip portland check ace portland apparently turntables rooms library vinyl check,  ",1.0,1.0,,,1.0
289,"interesting comfortable base seattle really enjoyed time, interesting decor unique touches, super clean tidy bathrooms shared spacious clean available, breakfast adequate fresh simple quite healthy nice change usual cardiac inducing breakfast fare served hotels, definitely stay,  ",,,,,1.0
290,"great hotel non-traditional stay true feel seattle, actually stayed ace 2 new years eve ago live seattle, popped occasion make sure route friends people visiting seattle ace.it downtown busy street 1st ave rooms interior no view.but rooms funky modern room bath bath robes just fun, ok shared baths little noise ask room facing street hotel best neighborhood seattle- accessible seattle center tons great bars restaurants casual try belltown pizza cyclops- surprise great food stiff drinks nicer meal try zoe breakfast walk street macrina bakery morning glory rocket muffin- food places 5 blocks ace hotel fish market/pike place waterfront downtown shopping, couple blocks ride zone buses want downtown.if want standard not place, want experience seattle willing roll punches want little adventure ace hotel fit perfectly, cant beat price downtown seattle,  ",1.0,-1.0,,,1.0
291,"stay clear, internet reservation friday rang hour later add thursday booking, thursday rang let know arriving late said no problem, arrive 10.30pm hear oh n't booking tonight, n't room, total apathy not concerned, says sorrys looks reservation book sorrys apathy, finally says bb door calls authority hangs says sorry times, incompetence management employees, completely soured trip, stay away,  ",,,,,1.0
292,"single rooms like hospital rooms single rooms hotel sparse intentional know ugly like trapped hospital white walls sink basin room small rectangle shape.the beds hard rocks blankets rough really noisy.this overrated hotel stayed fan stype hotels,  ",-1.0,,,,
293,"nice hotel husband stayed crown plaza spring break, arrival told given room beds booked king bed, matter resolved quickly, staff helpful met requests, room large clean quiet great view, location hotel decent, overall great experience, really no complaints said elevators bit slow, stay,  ",1.0,1.0,1.0,,1.0
294,"the check in is so fast and easy because it is help from the staf in this hotel, thank you",,,,1.0,1.0
295,"priority award floor, 32 member hilton honors priority award intercontinental chain, use hilton properties chose not pay 250.00 night seattle hilton.i given gold hotel room key checkin room 32nd floor, view quite impressive good experience ended, 32nd floor reserved priority members lounge complimentary appetizers evening, room adjacent elevator lounge, dinner returned room 9:30. 10- 12 pm/am lounge cleaned hotel staff vacuums going employees chattering making incessant noise cleaning commercial office building no regard guests priority club no floor, management clue lounge cleaned 8-9- common sense.finally posters indicated right elevator shaft hear, waited 10 minutes elevator arrive 5:00 pm, taken clue saw earplugs sleep kit bed check,  ",1.0,1.0,1.0,1.0,1.0
296,"great hotel hotel nice room really comfortable clean, location pretty good blocks pike place market waterfront, definitely stay seattle,  ",1.0,1.0,1.0,,
297,"The check in was amazing, its easy haha, I love the staf in front ",,,,1.0,1.0
298,"holiday inn, 1st time seattle delayed anniversary trip wanted stay nicer hotels room reminded holiday inn level hotel, plain room extra pillows, bathroom ordinary corian sink ordinary bathroom, room higher floor looking freeway loud, reason earplugs sleep cd, asked switch rooms told probably stay way stay 2 nights staying hotel different area town, luggage room decided eat, stopped concierge asked good place walk rudely told just walk area, not sure concierge doorman just sitting desk expected help, decided night hotel come day earlier happily said, used club points crowne rooms maybe lousy experience opted leave pay room luxury hotel hotel 1000,  ",1.0,1.0,,,
299,"stay liked good rate hotel room 24th floor, great view, room nice clean liked sleep aid includes dvd lavender spray pillows eyemask earplugs, did n't notice noise walked baseball game maybe tired, staff helpful friendly, stay seattle somewhat frequently business stay, parking expensive seattle..welcome city,  ",1.0,1.0,1.0,,1.0
300,"good location value downtown stayed town conference convention center little expensive downtown hotels, able book club room rate regular room hotels, included continental breakfast club lounge pastries cereal fruit early-evening appetizers charge alcoholic beverages got room high floor great view city, gave coupon free appetizer bar.the hotel convenient business convention center minute walk park street directly convention center door, fine decent gym ok bar, stay try book club room visit seattle,  ",1.0,1.0,,,1.0
301,"good experience having booked minute escape university tower hotel review proved excellent minute find.central clean rooms good views albeit rooms exec levels n't exactly spacious.try book executive rooms possible good choice breakfast hors d'oeuvres day makes overall package palatable.restaurant little pricey good food staying night skip try benihana just road hotel great food atmosphere,  ",1.0,1.0,1.0,,1.0
302,"pleasant experience location hotel good convenient walking distance, room 34th floor club level facing water view spectacular, room large newly furnished marble bath comfortable king bed, elevators fast 3, lounge small drinks pricey, service average check-in prompt courteous, club level includes continental breakfast money time-saver mornings, good experience hotel experience similar crowne plaza hotels, gripe did not make reservation directly hotel told stay non-qualifying priority club reward points, annoying silly rule make think twice booking hotel group, crowne plaza hotels unlike marriott hotels smoking rooms available, smoker good news not sure request non-smoking room,  ",1.0,1.0,,,
303,"worst hotel experience booked nonsmoking room online weeks advance stay crowne plaza downtown seattle, arrival desk staff asked consider smoking room, completely unacceptable family clearly stated no not consider smoking room mainly concern infant daughter health, particular staff member went speak quietly desk staff member agreed particular room",,,,-1.0,-1.0
304,"close convention center just stayed seattle crowne plaza feb 11-13. got great rate 65/night hotwire, checked saturday afternoon 1pm, got room 23rd floor directly elevators, did n't really hear noise hallways elevators air conditioning pretty loud covered outside noise, 2 double bed room nice view i-5, son loved view cars freeway",1.0,1.0,,,
305,"not bad clean comfy friendly good average hotel, looking ritzy n't place, decent view higher motel expectation ca n't afford ritz type hotel place not bad.as hotels downtown parking valet 25, better trying park street, room clean courteous friendly desk valet,  ",,,1.0,,
306,"loved inn queen anne really great stay, great staff continental breakfast locationsuite included bedroom lounge room kitchen 2 walk-in robes den,  ",1.0,,,,1.0
307,"quaint not rundown son decided celebrate graduation high school trip seattle, chose inn queen anne proximity experience music project space needle funky shops eateries nearby, hotel described quaint pictures hotel website nice gave shot.",,,,,1.0
308,"comfortable apt.-style hotel enjoyable stay price amenities, european-style hotel, building old furniture classic style comfortable, no a/c upper floors able open windows, terrific grocery nearby metropolitan market good restaurants, seattle center space needle experience music project science center, far pike market waterfront inn shuttle available day, parking tight, limited hotel spaces usually parking street fee 1-2 hours, parking 6 p.m. free streets car 8 amreported slow toilet fixed immediately, staff responsive,  ",1.0,,,,1.0
309,"not bad place stay short term n't expect, want roominess amenities not walk stairs not place you.if day just need place sleep shower fine place, rate good compared lodgings city.it old 1920 built twin apartment buildings retired priests nuns, building sisters priests.our room queen bed large walk-in closet kitchenette bath, clean adequate night stay.the staff friendly bellboy.",1.0,,1.0,,1.0
310,"excellent stay staff friendly helpful, nice hotel price, supermarkets restaurants close proximity, ideal location space needle, breakfast included added bonus, rooms big spacious, overall nice experience relaxing,  ",1.0,1.0,,,1.0
311,"return going seattle booked hotel knowing budget hotel, check-in friends met friendly warm welcome, rooms read reviews simple charming, beds-ok bathroom-ok really big closet nice little kitchenette.the breakfast not described great experience needs little kitchenette, bring coffee lobby prepare bacon eggs bought supermarket located not 150 metres away.what stay great experience friendly staff especially dana conveniant compementary shuttle service low price great location, 10-15 minute walk city center 2 minutes key arena 20 minutes hooters restaurant 20 minutes pike market 8 minutes space needle.///anders friends,  ",,,,1.0,1.0
312,"terrible hotel approximately 2 weeks ago april 25 2007 reservation hotel night 19 2007, wrote follow-up request reply advised reservation cancelled overbooking.i wote giving reservation number just wrote just saying sorry making no effort room nearby hotel, rhe emails brigeta operation manager, not written approximately 2 weeks stay positive left scrambe new hotel lobby inn queen anne.i practice unforgivable especially light having resevation number guarenteeing room 19 2007. point making advance reservations hotel suddenly cancel little advance notice sincerely greg scanlonsan francisco,  ",-1.0,,,-1.0,
313,"great price okay experience stayed inn queen anne nights mid-january 2007. price good 79/night room fine, old shabby clean comfortable, having kitchenette microwave stove sink fridge great room surprisingly large walk-in closet, service friendly no warned desk staff leaves 11:00 pm",1.0,,,1.0,1.0
314,"old dumpy place problems head starts spinning thinking start, got like 10pm check-in told park street cuz no parking left lot, room tiny carpet dirty spots",-1.0,,-1.0,1.0,
315,"great location staff location price make older hotel good choice, staff friendly, looking modern place not, old studio apartment building run hotel, great neighborhood close great local resturants, hotel does not sterile tourist feeling newer mid range hotels, feels like small european hotel, yes rooms use little moderizing compermise, just reservations stay,  ",1.0,1.0,,,1.0
316,"dump stayed weekend expected charming 1929 property based web-site reviews expedia, did n't expect charming mean incompetent staff showers randomly scalding cold medium pressure just trickle tacky acoustic ceilings moldy non-functional windows shower no screens windows no a/c having room left unlocked maid service having wait 18 hours iron gave 30 minutes make wedding having car 8am parking thought desk reality n't etc. etc.expedia apparantly wo n't publish negative reviews like gather having tried 3 times publish on-line calling customer service exchanging e-mails, beware reviews expedia especially beware hotels like,  ",-1.0,,,,-1.0
